comando	label_ribbon	form_dialogo	hint	descrizione
!CdTextAtEntSet	Attributes	CdTextAtEntSet	Edit text attributes	
!CdTextCrt	Text	CdTextCrt	Create text	
!CdTextFtr	Text	CdTextFtr	Add annotation text	Create Part annotated text, image and dimension features and anchor them at points in the active part or in another component in an assembly or sub-assembly while in the active part. Use the Redefine Feature  command to revise them.
!CdTextModStr	Change Text String	CdTextModStr	Modify text string	Select the text string to modify and then enter the new text or right-click and select Editor to use the Text and Dimension Editor.
!CdTextOnSurf2	Emboss	CdTextOnSurf2	Emboss image onto face	Emboss (deform) a face using an external raster image file as a height map. If the file is color, it is converted to monochrome.
!CdTextShFnt	Font Table	CdTextShFnt	Add font table at insertion point	First enter the font number shown on the Text Attributes Form. Then select an insertion point.
!CdThinPntArray	Reduce	CdThinPntArray	Reduce Point Data	Reduce the total number of points in a point cloud. The points can be created by ZW3D or imported from CMM (Coordinate Measuring Machine) data.
!CdThkAnalz	Thickness Analysis	CdThkAnalz	Analyze thickness of surface(s)	Select a shape (V) and pick the surface(s) (S) on it to analyze Thickness (T). Or measure the thickness (T) at a specific position. Two methods are provided: left figure - Ball-rolling and right figure - Ray-casting.
!CdThrdAdd	Flag Ext Thread	CdThrdAdd	Add external thread display attribute	Specify a thread attribute on a cylindrical face. This is similar to the Flag Hole Feature command but only visible in 3D.
!CdTraceRegion	Trace Region	CdTraceRegion	Trace a region according to a seed facet, seed facet normal and a threshold angle.	Select a seed facet and input a threshold angle, trace an adjacent region in the STL model. For every facet inside the region, the angle between its normal and the seed facet normal is smaller than the threshold.
!CdTraceShpEdge	Trace Sharp Edge	CdTraceShpEdge	Trace the sharp edges on the STL mesh.	Find out the sharp edges on the STL mesh
!CdTraceSilhou	Trace Silhouette	CdTraceSilhou	Find out the silhouette profile of an STL model.	Given a project direction, find out the silhouette profile along this direction.
!CdTransComp	Transparent	CdTransComp	Transparent component display	
!CdTransToggle	Toggle Entity Transparency		Toggle entity transparency	
!CdTrcOffset	Offset Trace Profile	CdTrcOffset	Offset trace profile	Select the trace profile to offset. Then specify the offset distance. A positive value creates an outer offset while a negative value creates an inner offset.
!CdTrcTssltEdg	Trace Edges	CdTrcTssltEdg	Trace a set of edges from tessellated points or STL data	This can be used to quickly trace boundary edges or holes from a set of tessellated data or as a starting point for the manual tracing stage.
!CdTrimBlock	Trim	CdTrimBlock	Trim point blocks to planes	First select the point block (B) then select the plane (C).  An arrow will indicate what side of the point block will be kept.  You can change the direction of the arrow using the Flip side to keep option.
!CdTrimChain	Power Trim			Draw a line to trim the intersecting curves.
!CdTrimQuick	One Touch Trim	CdTrimQuick	Trim away picked curve segment	Automatically trim a curve segment when it is selected.
!CdTrimQuick3D	One Touch Trim	CdTrimQuick3D	Trim away picked curve segment	Automatically trim a curve segment when it is selected.
!CdTssltSctDat	Tessellate	CdTssltSctDat	Tessellate & stitch a set of points or STL data	Tessellate 3D point data into inter-connected and therefore traversable vertices and edges. The connected edges form a series of triangles. This provides a structured way of traversing random input data for further processing.
!CdTumble	Tumble	CdTumble	Tumble the active view (press Escape to exit)	Make the active view tumble until you press the <Escape> key or select any other command.
!CdUDFCmd				
!CdUnBlankAll	Unblank All	CdUnBlankAll	Unblank all entities	Display all entities that were hidden by the Blank Entities command.
!CdUnHi	Unhighlight All	CdUnHi	Unhighlight all picked entities	When a selected entity will remain selected (i.e., highlighted) even after a function has completed. If an entity appears to be stuck in highlight mode, use this command to Unhighlight and unpick all geometry in the active object.
!CdUnblank3DPrf	Unblank	CdUnblank3DPrf	Unblank entities	
!CdUnblankDwg	Unblank	CdUnblankDwg	Unblank entities	
!CdUnblankDwg2	Unblank		Unblank entities	
!CdUnblankPart	Unblank	CdUnblankPart	Unblank entities	
!CdUndercut	Undercut Analysis		Undercut Analysis	
!CdUnfreezeAll	Thaw All Entities	CdUnfreezeAll	Unfreeze All	This command thaws all entities that have been frozen with the Freeze Entities command.
!CdUnfreezeObj	Thaw Entities	CdUnfreezeObj	Unfreeze entities	This command thaws entities frozen with the Freeze Entities command.
!CdV33DCurves	Show 3D Curves from Part	CdV33DCurves	Show or not show 3D Curves from part	
!CdV3ActPart	Edit Part	CdV3ActPart	Edit Part	
!CdV3AlignCH	Align Center Horizontal	CdV3AlignCH	Change the state of the alignment	
!CdV3AlignCV	Align Center Vertical	CdV3AlignCV	Change the state of the alignment	
!CdV3AlignDef	Default Alignment	CdV3AlignDef	Change the state of the alignment	
!CdV3AlignOH	Align Original Horizontal	CdV3AlignOH	Change the state of the alignment	
!CdV3AlignOV	Align Original Vertical	CdV3AlignOV	Change the state of the alignment	
!CdV3AlignOff	Alignment Off	CdV3AlignOff	Change the state of the alignment	
!CdV3AlterPos	Alternate Position View	CdV3AlterPos	Insert alternate position view	Select a view to drag/move its position.Display the projected view at the specified position as an alternate view.
!CdV3AssocEnt	Associate /Disassociate	CdV3AssocEnt	Associate/disassociate entities with view	This command associates (adds) the desired 2D entities to a layout view. Associated entities will be considered part of the view and will act accordingly during commands that affect the entire view.
!CdV3AtEntSet	View Attributes	CdV3AtEntSet	Set view display attributes	Edit the view attributes for existing layout views. The command is located on the Layout toolbar. The default view attributes defined in the View Attributes Form are not affected.
!CdV3Auto	Layout	CdV3Auto	Automatic view layout	Create a 3 or 4 view layout of a 3D part. Use the Edit 3D View Attributes command to change the view attributes after the views are created.
!CdV3Auto2	Layout	CdV3Auto2	Automatic view layout	Create a 1 to 7 view layout of a 3D part. Use the Edit 3D View Attributes command to change the view attributes after the views are created.
!CdV3Beads	Show weld beads from part		Show or not show weld beads from part	
!CdV3BendLine	Show bend lines	CdV3BendLine	Show or not show bend lines	
!CdV3BrkLine	Break Line	CdV3BrkLine	Insert break line view	Select a view to break(except detail view, define view, crop view). Select two or three points to define the starting line and the parallel offset line. Then specify the size of gap between break lines.
!CdV3BrkSect	Broken Section	CdV3BrkSect	Insert broken section view	Insert a broken section in a 3D layout view. Select an existing view, draw a boundary where the view is to be cut away, and define a section plane to expose the interior of the part.
!CdV3CenterLine	Show Center Lines	CdV3CenterLine	Show or not show center lines	
!CdV3CnvToStd	Convert to Standard View			Convert a projection view to standard view.
!CdV3Crop	Crop View	CdV3Crop	Crop view	Select a view to Crop(except detail view, define view, break line view).
!CdV3Crop3D	3D Crop	CdV3Crop3D	3D crop view	Select a view to 3D crop(except detail view, define view, break line view).
!CdV3CropApp3D	Apply Crop View to	CdV3CropApp3D	Apply crop view to	Select a 3D crop view to apply.
!CdV3DPrjMdDisc	Discrete	CdV3DPrjMdDisc		
!CdV3DPrjMdPar	From Parent	CdV3DPrjMdPar		
!CdV3DPrjMdPrec	Precise	CdV3DPrjMdPrec		
!CdV3DPrjObjHide	Hide Wireframe	CdV3DPrjObjHide	Hide wireframe	
!CdV3DPrjObjInq	Inquire		Inquire wireframe information	
!CdV3DPrjObjShow	Show Wireframe		Show wireframe	
!CdV3DelCrop3D	Delete Crop View	CdV3DelCrop3D	Delete 3D crop view	Select a 3D crop view to delete.
!CdV3Detail	Detail	CdV3Detail	Insert detail view	Create circular, rectangular and polyline detail views from another 3D layout view. The line and color attributes defined in the Options Form refer to the detail border.
!CdV3Dimension	Show Dimensions from Part	CdV3Dimension	Show or not show the dimension from part	
!CdV3DtmDim	Show Projected Datums from Part	CdV3DtmDim	Show or not show projected datums from part	
!CdV3EditLabel	View Label	CdV3EditLabel	Edit the label of a view	Modify the label text of a layout view. You can also use this command to add a label to a view created without one.
!CdV3FastHide	Fast Hidden Line	CdV3FastHide	Fast hidden line	
!CdV3HiddenLin	Show hidden lines	CdV3HiddenLin	Show or not show hidden lines	
!CdV3Hide	Hidden Line	CdV3Hide	Hidden line	
!CdV3HideComp	Suppress Component	CdV3HideComp	Suppress component in view	Suppress entities belonging to a particular component.
!CdV3InheritPMI	Inherit PMI	CdV3InheritPMI	Inherit PMI entities from part or not.	
!CdV3Ins	Standard	CdV3Ins	Insert standard view of part	Create a standard orthographic layout view from a 3D part. If the part has named views created using the View Manager, they can also be inserted as a standard view.
!CdV3InsAux	Auxiliary	CdV3InsAux	Insert Auxiliary view of part	Create an auxiliary view that is projected perpendicular from an edge of another layout view. Select the layout view (V) to project, a line (L) defining the auxiliary view plane and a point (P) to locate the view.
!CdV3InsEmpty	Empty	CdV3InsEmpty	Insert empty view of part	
!CdV3InsPrj	Projection	CdV3InsPrj	Insert projected view of part	Select the 3D layout view (V) to project. Then select the view location (P). Moving the cursor to the top, bottom, left, or right will created a projected view in that direction.
!CdV3InsSecStep	Insert Step	CdV3InsSecStep	Insert a step for section definition view	You can break a line of the definition view of full section, aligned section and revolved section to insert a step.
!CdV3Label	Turn View Label on/off	CdV3Label	label	
!CdV3LinkToBOM	Balloons link to BOM	CdV3LinkToBOM	Balloons link to the specified BOM table	
!CdV3LocLock	Lock Location	CdV3LocLock	Lock location	
!CdV3Measure	3D Measure	CdV3Measure	Enable/disable 3D measurement	
!CdV3Mod3DDim	Modify Part Dim	CdV3Mod3DDim	Modify 3D part dimensions from drawing	This command provides bi-directional associativity between the 3D part or assembly and its drawing sheets. You can only modify part dimensions with this command and not sheet dimensions.
!CdV3ModConf	Component Config	CdV3ModConf	Modify view assembly configuration	If the referenced assembly of a layout view has multiple component configurations, use this command to change the configuration. First select the layout view to modify. Then, if the reference assembly has component configuration, select one from the list.
!CdV3ModPrtCfg	Part Config	CdV3ModPrtCfg	Modify view Part configuration	If the referenced part of a layout view has multiple configurations, use this command to change the configuration. First select the layout view to modify. Then, if the reference part has part configuration, select one from the list.
!CdV3Move	Move Views	CdV3Move	Move views	
!CdV3MoveTo	Move View to Sheet	CdV3MoveTo	Move view to sheet	
!CdV3OrientView	Orient View Tool	CdV3OrientView	Orient view tool	Insert a view base on the direction in the preview window which can be decided by the "up" and "right" vectors or free rotation
!CdV3PartOrient	View Orientation from Parent	CdV3PartOrient	Views orientation from parent	
!CdV3ProfAtSet	Scale	CdV3ProfAtSet	Set sketch attributes	Set sketch attributes
!CdV3RedefBrkX	Redefine Broken Section	CdV3RedefBrkX	Redefine broken section	Redefine a broken section view.
!CdV3RedefCrop	Redefine Crop View	CdV3RedefCrop	Redefine crop view	Select a crop view to redefine.
!CdV3RedefDet	Redefine Detail	CdV3RedefDet	Redefine detail view	
!CdV3RedefSec	Redefine Section	CdV3RedefSec	Redefine section definition	
!CdV3RedefX	Redefine Section	CdV3RedefX	Redefine section definition	
!CdV3RefAtEnt	Attribute	CdV3RefAtEnt	Set the attribute for the component	
!CdV3RefEdit	Edit Part	CdV3RefEdit	Edit component	
!CdV3RefHat	Hatch	CdV3RefHat	Change the Hatch state of the component	
!CdV3RefHidHdLn	Hide hidden line	CdV3RefHidHdLn	Hide the hidden line generate by the component	
!CdV3RefHidShll	Hide Shape	CdV3RefHidShll	Show component	
!CdV3RefHide	Suppress Component	CdV3RefHide	Suppress component	
!CdV3RefInq	Inquire	CdV3RefInq	inquire component informations	
!CdV3RefSect	Section	CdV3RefSect	Change the section state of the component	
!CdV3RefShow	Show Component	CdV3RefShow	Show component	
!CdV3RefShowHdLn	Show hidden line	CdV3RefShowHdLn	Show the hidden line generate by the component	
!CdV3RemoveCrop	Delete Crop	CdV3RemoveCrop	Delete crop from view	Select a crop view to delete the crop.
!CdV3RevDir	Reverse Direction	CdV3RevDir	Reverse the direction of the projection	
!CdV3RmBrkLine	Delete Break Line	CdV3RmBrkLine	Delete break line from view	Select a break line view to delete break line(s).
!CdV3Scale	Turn View Scale on/off	CdV3Scale	Scale	
!CdV3SecAlign	Aligned Section	CdV3SecAlign	Insert a aligned section view of part	Insert and redefine a variety of section views of a 3D layout view. You can section part views, detail views and full section views.
!CdV3SecBent	Bent Section	CdV3SecBent	Insert a bent section view of part	Insert and redefine a variety of section views of a 3D layout view. You can section part views, detail views and full section views.
