comando	label_ribbon	form_dialogo	hint	descrizione
ID_!HrnAddToNetwork	Harness	HrnAddToNetwork		
ID_!HrnAddtoBundle	Harness	HrnAddtoBundle		
ID_!HrnAttach	Harness	HrnAttach		
ID_!HrnBundleCrt	Harness	HrnBundleCrt		
ID_!HrnDetach	Harness	HrnDetach		
ID_!HrnExtractPath	Harness	HrnExtractPath		
ID_!HrnInqDiam	Harness	HrnInqDiam		
ID_!HrnNetCopy	Harness	HrnNetCopy		
ID_!HrnNetPathCrt	Harness	HrnNetPathCrt		
ID_!HrnNetworkCrt	Harness	HrnNetworkCrt		
ID_!HrnObjCut	Harness	HrnObjCut		
ID_!HrnObjDelete	Harness	HrnObjDelete		
ID_!HrnPosPntModify	Harness	HrnPosPntModify		
ID_!HrnRefLeadPath	Harness	HrnRefLeadPath		
ID_!HrnRefPort	Harness	HrnRefPort		
ID_!HrnSegSplit	Harness	HrnSegSplit		
ID_!PipAutoLayout	Piping	PipAutoLayout		
ID_!PipChangeNSize	Piping	PipChangeNSize		
ID_!PipChangeSpec	Piping	PipChangeSpec		
ID_!PipConnectPip	Piping	PipConnectPip		
ID_!PipDrag	Piping	PipDrag		
ID_!PipISOCreDivPnt	Piping	PipISOCreDivPnt		
ID_!PipInstPipPart	Piping	PipInstPipPart		
ID_!PipLayoutPip	Piping	PipLayoutPip		
ID_!PipLytUPip	Piping	PipLytUPip		
ID_!PipParallelRou	Piping	PipParallelRou		
ID_!PipQuickDim	Piping	PipQuickDim		
ID_!PipRefConPoint	Piping	PipRefConPoint		
ID_!PipShtDmBalloon	Routing	PipShtDmBalloon		
ID_!PipShtDmFlow	Routing	PipShtDmFlow		
ID_!PipSpooling	Piping	PipSpooling		
ID_!PipTblCrt	Routing	PipTblCrt		
ID_!SmdBendInfo	Inquire			
ID_!SmdClsCrnerList	Sheet Metal			
ID_!SmdDimple	Sheet Metal			
ID_!SmdLouver	Sheet Metal			
ID_!SmdNormalCut	Sheet Metal			
ID_!SmdPunch	Sheet Metal			
ID_!SmdSetStatFc	Sheet Metal			
ID_!WdFilletWeld	Weldments			
ID_!WdGrooveWeld	Weldments			
ID_!WdPlugWeldMulti	Weldments			
ID_!WdSpotWeld	Weldments			
ID_!WrCrBndBox	Drawing			
ID_!WrCrCircles	Sketch			
ID_!WrCrCircles3D	Sketch			
ID_!WrCrEllp3D	Sketch			
ID_!WrCrElps	Sketch			
ID_!WrInqArc3	Inquire			
ID_!WrInqArc3P	Inquire			
ID_!WrInqArc3P-2D	Inquire			
ID_!WrInqArea	Inquire			
ID_!WrInqArea2	Inquire			
ID_!WrInqCoord2	Inquire			
ID_!WrInqCoord3	Inquire			
ID_!WrInqCrv	Inquire			
ID_!WrInqLen	Inquire			
ID_!WrInqLen2	Inquire			
ID_!WrInqLen3	Inquire			
ID_!WrInqNrbCrv	Inquire			
ID_!WrInqNrbSrf	Inquire			
ID_!WrInqRad	Inquire			
ID_!WrMdCp3D	Sketch			
ID_!WrMdMove3D	Sketch			
ID_!WrMdPtn	Sketch			
ID_!WrMdScl3D	Sketch			
ID_!WrSmtDraw2D	Sketch			
ID_!ZwBondContact	ZWStructure			
ID_!ZwCeAnStep	ZWStructure			
ID_!ZwCeContact	ZWStructure			
ID_!ZwCeMeshing	Geometry and Mesh	ZwCeMeshing		
ID_!ZwCeTask	ZWStructure	ZwCeTask		
ID_!ZwEnforceMotion	ZWStructure			
ID_!ZwForceLoad	ZWStructure			
ID_!ZwFtLoad	ZWStructure			
ID_!ZwFtLoadHarmoni	ZWStructure			
ID_!ZwFtLoadRanVib	ZWStructure			
ID_!ZwFtLoadTmStep	ZWStructure			
ID_!ZwFtLoadVar	ZWStructure			
ID_!ZwGTopoFcTool	Geometry and Mesh			
ID_!ZwGTopoOptLayer	Geometry and Mesh			
ID_!ZwInitVelAcc	ZWStructure			
ID_!ZwMGTopoConfig	Geometry and Mesh			
ID_!ZwMesh1D	Geometry and Mesh	ZwMesh1D		
ID_!ZwMesh2D	Geometry and Mesh	ZwMesh2D		
ID_!ZwMesh3D	Geometry and Mesh	ZwMesh3D		
ID_!ZwMeshCleanUp	Geometry and Mesh			
ID_!ZwMeshCreElem	Geometry and Mesh			
ID_!ZwMeshCreNode	Geometry and Mesh			
ID_!ZwMeshDelete	Geometry and Mesh			
ID_!ZwMeshDetach	Geometry and Mesh			
ID_!ZwMeshFReverDir	Geometry and Mesh			
ID_!ZwMeshGEdgeCtr	Geometry and Mesh			
ID_!ZwMeshGTopoTool	Geometry and Mesh			
ID_!ZwMeshMeasure	Geometry and Mesh			
ID_!ZwMeshMergeNode	Geometry and Mesh			
ID_!ZwMeshMirror	Geometry and Mesh			
ID_!ZwMeshModNode	Geometry and Mesh			
ID_!ZwMeshMoveNode	Geometry and Mesh			
ID_!ZwMeshPosition	Geometry and Mesh			
ID_!ZwMeshProject	Geometry and Mesh			
ID_!ZwMeshRemap	Geometry and Mesh			
ID_!ZwMeshRenumber	Geometry and Mesh			
ID_!ZwMeshReorder	Geometry and Mesh			
ID_!ZwMeshRotate	Geometry and Mesh			
ID_!ZwMeshScale	Geometry and Mesh			
ID_!ZwMeshTranslate	Geometry and Mesh			
ID_!ZwPressureLoad	ZWStructure			
ID_!ZwReloadGTopo	Geometry and Mesh			
ID_!ZwRemesh	Geometry and Mesh			
ID_!ZwSelectExcita	ZWStructure			
ID_!ZwShowHideMesh	Geometry and Mesh			
ID_!ZwStBaseExcita	ZWStructure			
ID_!ZwStCreMass	Geometry and Mesh			
ID_!ZwThConvecLoad	ZWStructure			
ID_!ZwThHtFluxLoad	ZWStructure			
ID_!ZwThHtPowLoad	ZWStructure			
ID_!ZwThInterHtGen	ZWStructure			
ID_!ZwThRadiaLoad	ZWStructure			
ID_!ZwThTempLoad	ZWStructure			
ID_$Another	Tools			
ID_$CdAIAutoDim	Quick Primer			
ID_$CdCancelExit	Sketch			
ID_$CdEditParent	Sketch			
ID_$CdFileConvert	Data Exchange			
ID_$CdFileExport	Tools			
ID_$CdFileImport	Data Exchange			
ID_$CdFileInMulti	Quick Primer			
ID_$CdFileIopView	Quick Primer			
ID_$CdFileNew	Quick Primer			
ID_$CdFileOpenInCAD_Top	Quick Primer			
ID_$CdFileSTLImport	Point Cloud			
ID_$CdModelImport	Quick Primer			
ID_$CdPMIRegenAll	PMI			
ID_$CdPrfClrStg	Tools			
ID_$CdRedraw	Visualize			
ID_$CdSetStep	Tools			
ID_$CdSettings	Tools			
ID_$CdStartFolderMgr	Tools			
ID_$CdSwapLite	Visualize			
ID_$CdUnitConvert	Tools			
ID_$CdWorkFolder	Tools			
ID_$CdZwAppLm	Tools			
ID_$CloseUnusedFiles	Tools			
