funzione	header	riga	deprecated	firma
ZwCamUDOpCreate	zwapi_cm_op.h	241		ezwErrors ZwCamUDOpCreate(const char *name, const szwCamUDOpData *pzUDF, int *idxOp)
ZwCamUDOpDataGet	zwapi_cm_op.h	256		ezwErrors ZwCamUDOpDataGet(int idxOp, szwCamUDOpData *pzUDF)
ZwCamUDOpDataSet	zwapi_cm_op.h	259		ezwErrors ZwCamUDOpDataSet(int idxOp, const szwCamUDOpData *pzUDF)
ZwCamUDOpEditFnRegister	zwapi_cm_op.h	244		ezwErrors ZwCamUDOpEditFnRegister(int idxOp, ZwCamUDOpEditFn fn)
ZwCamUDOpEditFnRegisterByType	zwapi_cm_op.h	247		ezwErrors ZwCamUDOpEditFnRegisterByType(const char *typeName, ZwCamUDOpEditFn fn)
ZwCamUDOpEditFnUnregisterByType	zwapi_cm_op.h	250		ezwErrors ZwCamUDOpEditFnUnregisterByType(const char *typeName)
ZwCamUDOpFormExit	zwapi_cm_op.h	271		ezwErrors ZwCamUDOpFormExit(int idxOp)
ZwCamUDOpTpathArcMotionAdd	zwapi_cm_tpath.h	27		ezwErrors ZwCamUDOpTpathArcMotionAdd(int idxOp, const szwCamTpathArcMotion *pzMotion)
ZwCamUDOpTpathEnd	zwapi_cm_tpath.h	21		ezwErrors ZwCamUDOpTpathEnd(int idxOp)
ZwCamUDOpTpathLinearMotionAdd	zwapi_cm_tpath.h	24		ezwErrors ZwCamUDOpTpathLinearMotionAdd(int idxOp, const szwCamTpathLinearMotion *pzMotion)
ZwCamUDOpTpathStart	zwapi_cm_tpath.h	14		ezwErrors ZwCamUDOpTpathStart(int idxOp)
ZwCamUDOpTreeXmlLoad	zwapi_cm_op.h	253		ezwErrors ZwCamUDOpTreeXmlLoad(int idxOp, const char *form, const char *opTypeGuiName, const char *xml)
ZwChildFeatureListGet	zwapi_feature_general.h	32		ezwErrors ZwChildFeatureListGet(szwEntityHandle featureHandle, int *countChild, szwEntityHandle **childList)
